# chandef-cases.tsv - channel/width matrix for run_chandef_vif_host.sh (todo 4.5)
#
# Columns (TAB separated):
#   case_id  phase(setfreq|hop|converge)  freq  width  center  set_tier  tx_probe
#   tx_tier_template  tx_tier_constructed
#
# width uses iw set-freq tokens (HT20/HT40-/HT40+/NOHT/5/10/80/160/80+80); center '-' = absent.
#
# Context model (v7+ driver truth):
#   The managed template latched at monitor entry stays valid on its own
#   frequency/width (or narrowed to 20 MHz). Every other channel falls back to
#   the constructed context, which follows the monitor width (HT>=40, 5G VHT
#   >=80, 6G HE incl. widths) since the v7 maxsqueeze unlock.
#
# Coverage: every iw-phy channel NOT flagged disabled on v10 (2.4G ch1-14,
# 5G 36-173, 6G ch1-233) plus width probes. DFS-family 5G rows stay
# observation (radar/CAC is FW-owned); 5885/ch177 and 5935/ch2 are disabled
# in the live regdom and intentionally excluded.
#
# tx tiers:
#   must_complete         set must be accepted and the frame must get a FW
#                         completion round trip
#   must_refuse_either    a precise refusal at either layer passes: the set
#                         itself refused with an errno, or the set was
#                         accepted and TX terminally rejected with
#                         drop_reason_context (never a silent completion)
#   observation           outcome recorded, no pass/fail judgement
#   '-'                   no TX probe for this row
#
# setfreq rows: 109
ch.6g.6335.ht20	setfreq	6335	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6355.ht20	setfreq	6355	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6375.ht20	setfreq	6375	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6395.ht20	setfreq	6395	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6415.ht20	setfreq	6415	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6435.ht20	setfreq	6435	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6455.ht20	setfreq	6455	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6475.ht20	setfreq	6475	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6495.ht20	setfreq	6495	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6515.ht20	setfreq	6515	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6535.ht20	setfreq	6535	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6555.ht20	setfreq	6555	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6575.ht20	setfreq	6575	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6595.ht20	setfreq	6595	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6615.ht20	setfreq	6615	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6635.ht20	setfreq	6635	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6655.ht20	setfreq	6655	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6675.ht20	setfreq	6675	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6695.ht20	setfreq	6695	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6715.ht20	setfreq	6715	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6735.ht20	setfreq	6735	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6755.ht20	setfreq	6755	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6775.ht20	setfreq	6775	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6795.ht20	setfreq	6795	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6815.ht20	setfreq	6815	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6835.ht20	setfreq	6835	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6855.ht20	setfreq	6855	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6875.ht20	setfreq	6875	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6895.ht20	setfreq	6895	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6915.ht20	setfreq	6915	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6935.ht20	setfreq	6935	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6955.ht20	setfreq	6955	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6975.ht20	setfreq	6975	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6995.ht20	setfreq	6995	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.7015.ht20	setfreq	7015	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.7035.ht20	setfreq	7035	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.7055.ht20	setfreq	7055	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.7075.ht20	setfreq	7075	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.7095.ht20	setfreq	7095	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.7115.ht20	setfreq	7115	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.5955.80	setfreq	5955	80	5985	observation	1	must_complete	must_complete
ch.6g.5955.160	setfreq	5955	160	6025	observation	1	must_complete	must_complete
ch.bad.2412.80	setfreq	2412	80	2457	observation	0	-	-
ch.bad.5745.ht20center	setfreq	5745	HT20	5775	observation	0	-	-
# hop rows: 12 rapid set-freq cycles (no per-hop TX; latency + persona survival)
hop.01	hop	2412	HT20	-	must_accept	0	-	-
